metric,metric_label,analysis_unit,reference_group,comparison_group,reference_n,comparison_n,reference_mean,comparison_mean,reference_median,comparison_median,median_difference_comparison_minus_reference,median_percent_difference,cliffs_delta_comparison_minus_reference,bootstrap_95ci_low,bootstrap_95ci_high,permutation_p_value,inference_status,bh_fdr_q_value
estimated_nuclei_per_1000_um2,"Estimated nuclei per 1,000 um2",biological specimen,WT,KJ,1,1,95.26384796643461,120.86060556869232,95.26384796643461,120.86060556869232,25.59675760225771,26.86932991755331,1.0,,,,insufficient_specimens,
estimated_nuclei_per_100000_um3,"Estimated nuclei per 100,000 um3",biological specimen,WT,KJ,1,1,410.72032145637183,396.7299320191325,410.72032145637183,396.7299320191325,-13.990389437239344,-3.4063056309536544,-1.0,,,,insufficient_specimens,
median_2d_length_um,Specimen median 2D length (um),biological specimen,WT,KJ,1,1,8.536,9.92,8.536,9.92,1.3840000000000003,16.213683223992508,1.0,,,,insufficient_specimens,
median_body_width_um,Specimen median apparent central-body mask width (um),biological specimen,WT,KJ,1,1,1.6921,1.5523,1.6921,1.5523,-0.13979999999999992,-8.26192305419301,-1.0,,,,insufficient_specimens,
median_body_width_p90_um,Specimen median P90 body width (um),biological specimen,WT,KJ,1,1,1.9247,1.6923,1.9247,1.6923,-0.23240000000000016,-12.074609029978706,-1.0,,,,insufficient_specimens,
median_length_body_width_ratio,Specimen median length / body width,biological specimen,WT,KJ,1,1,5.716582874626884,7.045072686098327,5.716582874626884,7.045072686098327,1.3284898114714432,23.2392294594024,1.0,,,,insufficient_specimens,
median_projection_z_extent_um,Specimen median projection + Z extent (um),biological specimen,WT,KJ,1,1,8.912929321313497,10.19698420605453,8.912929321313497,10.19698420605453,1.2840548847410336,14.406653956858737,1.0,,,,insufficient_specimens,
median_3d_tortuosity,Specimen median 3D tortuosity,biological specimen,WT,KJ,1,1,1.123739361502195,1.1323619966509142,1.123739361502195,1.1323619966509142,0.008622635148719082,0.7673162873989298,1.0,,,,insufficient_specimens,
median_observed_slab_effective_thickness_um,Specimen median observed-slab effective thickness (um),biological specimen,WT,KJ,1,1,1.2816081944627444,1.262565868114934,1.2816081944627444,1.262565868114934,-0.019042326347810334,-1.4858149651417418,-1.0,,,,insufficient_specimens,
median_observed_slice_mask_volume_um3,Specimen median observed-slice mask slab sum (um3),biological specimen,WT,KJ,1,1,11.748947748323769,13.037861847295982,11.748947748323769,13.037861847295982,1.2889140989722137,10.970464135020977,1.0,,,,insufficient_specimens,
median_3d_z_span_um,Specimen median Z span (um),biological specimen,WT,KJ,1,1,0.6923682140047207,0.69236821400472,0.6923682140047207,0.69236821400472,-6.661338147750939e-16,-9.621091802035732e-14,-1.0,,,,insufficient_specimens,
