foreground_threshold,core_threshold,match_found,matched_instance_id,match_iou,intersection_px,union_px,baseline_mask_area_px,matched_mask_area_px,mask_area_change_px,mask_area_change_percent,baseline_body_width_um,matched_body_width_um,body_width_change_um,body_width_change_percent,specimen,source_stem,track_id,z_index,representative_z,baseline_instance_id,matched_body_width_sample_count,body_width_method,matched_mask_area_um2,qc_only
0.55,0.5,True,230,0.98,98,100,98.0,100.0,2.0,2.0408163265306123,1.349984398404411,1.349776956856219,-0.00020744154819207772,-0.015366218190170153,KJ-01,kj_sv_40xx0.75-1,1299,34,35,229,18,subpixel_mask_contour_perpendicular_chords_central_body,14.320015907287598,True
0.6,0.5,True,229,1.0,98,98,98.0,98.0,0.0,0.0,1.349984398404411,1.349984398404411,0.0,0.0,KJ-01,kj_sv_40xx0.75-1,1299,34,35,229,18,subpixel_mask_contour_perpendicular_chords_central_body,14.033615589141846,True
0.65,0.5,True,227,0.9897959183673469,97,98,98.0,97.0,-1.0,-1.0204081632653061,1.349984398404411,1.3500634499026973,7.905149828624225e-05,0.00585573421290466,KJ-01,kj_sv_40xx0.75-1,1299,34,35,229,18,subpixel_mask_contour_perpendicular_chords_central_body,13.89041543006897,True
0.55,0.5,True,225,0.9541284403669725,104,109,104.0,109.0,5.0,4.8076923076923075,1.3556319747710648,1.4111882857368505,0.05555631096578573,4.098185348215021,KJ-01,kj_sv_40xx0.75-1,1299,35,35,226,18,subpixel_mask_contour_perpendicular_chords_central_body,15.608817338943481,True
0.6,0.5,True,226,1.0,104,104,104.0,104.0,0.0,0.0,1.3556319747710648,1.3556319747710648,0.0,0.0,KJ-01,kj_sv_40xx0.75-1,1299,35,35,226,18,subpixel_mask_contour_perpendicular_chords_central_body,14.892816543579102,True
0.65,0.5,True,226,0.9903846153846154,103,104,104.0,103.0,-1.0,-0.9615384615384616,1.3556319747710648,1.3531099789866128,-0.0025219957844520025,-0.1860383814624843,KJ-01,kj_sv_40xx0.75-1,1299,35,35,226,18,subpixel_mask_contour_perpendicular_chords_central_body,14.749616384506226,True
0.55,0.5,True,225,0.9878048780487805,81,82,81.0,82.0,1.0,1.2345679012345678,1.3404049892722956,1.3406144610318844,0.0002094717595888529,0.015627497753688227,KJ-01,kj_sv_40xx0.75-1,1299,36,35,226,17,subpixel_mask_contour_perpendicular_chords_central_body,11.74241304397583,True
0.6,0.5,True,226,1.0,81,81,81.0,81.0,0.0,0.0,1.3404049892722956,1.3404049892722956,0.0,0.0,KJ-01,kj_sv_40xx0.75-1,1299,36,35,226,18,subpixel_mask_contour_perpendicular_chords_central_body,11.599212884902954,True
0.65,0.5,True,226,0.9506172839506173,77,81,81.0,77.0,-4.0,-4.938271604938271,1.3404049892722956,1.3438309814479692,0.003425992175673631,0.2555938095644958,KJ-01,kj_sv_40xx0.75-1,1299,36,35,226,16,subpixel_mask_contour_perpendicular_chords_central_body,11.02641224861145,True
0.55,0.5,True,11,0.9629629629629629,52,54,52.0,54.0,2.0,3.8461538461538463,1.366213500633693,1.376982392980115,0.010768892346421977,0.7882290975332203,WT-01,w1118_sv_feb_40xx0.75-1,1535,34,35,11,8,subpixel_mask_contour_perpendicular_chords_central_body,7.732808589935303,True
0.6,0.5,True,11,1.0,52,52,52.0,52.0,0.0,0.0,1.366213500633693,1.366213500633693,0.0,0.0,WT-01,w1118_sv_feb_40xx0.75-1,1535,34,35,11,9,subpixel_mask_contour_perpendicular_chords_central_body,7.446408271789551,True
0.65,0.5,True,11,0.9807692307692307,51,52,52.0,51.0,-1.0,-1.9230769230769231,1.366213500633693,1.3677885141558108,0.001575013522117752,0.1152831180036803,WT-01,w1118_sv_feb_40xx0.75-1,1535,34,35,11,8,subpixel_mask_contour_perpendicular_chords_central_body,7.303208112716675,True
0.55,0.5,True,10,1.0,67,67,67.0,67.0,0.0,0.0,1.4538262427709288,1.4538262427709288,0.0,0.0,WT-01,w1118_sv_feb_40xx0.75-1,1535,35,35,10,12,subpixel_mask_contour_perpendicular_chords_central_body,9.59441065788269,True
0.6,0.5,True,10,1.0,67,67,67.0,67.0,0.0,0.0,1.4538262427709288,1.4538262427709288,0.0,0.0,WT-01,w1118_sv_feb_40xx0.75-1,1535,35,35,10,12,subpixel_mask_contour_perpendicular_chords_central_body,9.59441065788269,True
0.65,0.5,True,10,0.9701492537313433,65,67,67.0,65.0,-2.0,-2.985074626865672,1.4538262427709288,1.4105683888916747,-0.04325785387925407,-2.9754486888891556,WT-01,w1118_sv_feb_40xx0.75-1,1535,35,35,10,12,subpixel_mask_contour_perpendicular_chords_central_body,9.308010339736938,True
0.55,0.5,True,9,0.9661016949152542,57,59,57.0,59.0,2.0,3.508771929824561,1.3612373383115672,1.3612373383115672,0.0,0.0,WT-01,w1118_sv_feb_40xx0.75-1,1535,36,35,9,12,subpixel_mask_contour_perpendicular_chords_central_body,8.448809385299683,True
0.6,0.5,True,9,1.0,57,57,57.0,57.0,0.0,0.0,1.3612373383115672,1.3612373383115672,0.0,0.0,WT-01,w1118_sv_feb_40xx0.75-1,1535,36,35,9,12,subpixel_mask_contour_perpendicular_chords_central_body,8.16240906715393,True
0.65,0.5,True,9,0.9473684210526315,54,57,57.0,54.0,-3.0,-5.2631578947368425,1.3612373383115672,1.324445446912105,-0.03679189139946226,-2.7028270797433223,WT-01,w1118_sv_feb_40xx0.75-1,1535,36,35,9,12,subpixel_mask_contour_perpendicular_chords_central_body,7.732808589935303,True
